"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C5,C6,C7","6","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.lcsc.com/product-detail/C106841.html"
"C4,C8,C9,C10,C11,C13,C15,C17","8","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.lcsc.com/product-detail/C1711.html"
"C12","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.lcsc.com/product-detail/C2932476.html"
"C14,C16","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.lcsc.com/product-detail/C116352.html"
"D1","1","Red LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C965812.html"
"D2","1","YLL LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C965814.html"
"D3","1","GRE LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C364562.html"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHolesCustom:MountingHole_NPTH_3.5_6.25SB","~"
"J1","1","Conn_01x07","","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~"
"J3","1","Conn_02x16_Top_Bottom","","","","Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical","https://www.lcsc.com/product-detail/C7499351.html"
"JP1,JP2,JP3,JP4,JP5,JP6","6","SolderJumper_3_Open","","Excluded from BOM","","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~"
"R1,R2,R3,R10,R11,R12,R24","7","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C149504.html"
"R4,R5,R6,R14,R15,R16","6","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C2907232.html"
"R7,R8,R9,R17,R18,R19,R23","7","20k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C114566.html"
"R13","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C2907219.html"
"R20,R21","2","150","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C114523.html"
"R22","1","22","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/C107702.html"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38","https://www.lcsc.com/product-detail/C2939210.html"
"SW2","1","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN","https://www.lcsc.com/product-detail/C221660.html"
"U1","1","STM32G474RCT6","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.lcsc.com/product-detail/C529414.html"
"U2","1","SN65","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.lcsc.com/product-detail/C12084.html"
