Reference,Qty,Value,LCSC part number,Datasheet
"C1,C2,C3,C5,C6,C7",6,10nF,C106841,https://www.lcsc.com/product-detail/C106841.html
"C4,C8,C9,C10,C11,C13,C15,C17",8,100nF,C1711,https://www.lcsc.com/product-detail/C1711.html
C12,1,10uF,C2932476,https://www.lcsc.com/product-detail/C2932476.html
"C14,C16",2,1uF,C116352,https://www.lcsc.com/product-detail/C116352.html
D1,1,Red LED,C965812,https://www.lcsc.com/product-detail/C965812.html
D2,1,YLL LED,C965814,https://www.lcsc.com/product-detail/C965814.html
D3,1,GRE LED,C364562,https://www.lcsc.com/product-detail/C364562.html
J3,1,Conn_02x16_Top_Bottom,C7499351,https://www.lcsc.com/product-detail/C7499351.html
"R1,R2,R3,R10,R11,R12,R24",7,100k,C149504,https://www.lcsc.com/product-detail/C149504.html
"R4,R5,R6,R14,R15,R16",6,1k,C2907232,https://www.lcsc.com/product-detail/C2907232.html
"R7,R8,R9,R17,R18,R19,R23",7,20k,C114566,https://www.lcsc.com/product-detail/C114566.html
R13,1,10k,C2907219,https://www.lcsc.com/product-detail/C2907219.html
"R20,R21",2,150,C114523,https://www.lcsc.com/product-detail/C114523.html
R22,1,22,C107702,https://www.lcsc.com/product-detail/C107702.html
SW1,1,SW_Push,C2939210,https://www.lcsc.com/product-detail/C2939210.html
SW2,1,SW_SPDT,C221660,https://www.lcsc.com/product-detail/C221660.html
U1,1,STM32G474RCT6,C529414,https://www.lcsc.com/product-detail/C529414.html
U2,1,SN65,C12084,https://www.lcsc.com/product-detail/C12084.html
