"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Datasheet"
"C1,C2,C3,C4,C5,C11,C16,C21,C26,C31,C36,C41,C46,C51,C56","15","0.1uF","","","","https://www.lcsc.com/product-detail/C1711.html"
"C6","1","2.2uF","","","","https://www.lcsc.com/product-detail/C19110.html"
"C7,C12,C17,C22,C27,C32,C37,C42,C47,C52","10","1uF","","","","https://www.lcsc.com/product-detail/C116352.html"
"C8,C13,C18,C23,C28,C33,C38,C43,C48,C53","10","2.2nF","","","","https://www.lcsc.com/product-detail/C1728.html"
"C9,C14,C19,C24,C29,C34,C39,C44,C49,C54","10","10nF","","","","https://www.lcsc.com/product-detail/C106841.html"
"C10,C15,C20,C25,C30,C35,C40,C45,C50,C55","10","1uF","","","","https://www.lcsc.com/product-detail/C28323.html"
"D1,D4,D5,D11,D12,D18,D19,D25,D26,D32,D33,D39,D40,D46,D47,D53,D54,D60,D61,D67,D68","21","FR107","","","","https://www.lcsc.com/product-detail/C963379.html"
"D2,D3,D9,D10,D16,D17,D23,D24,D30,D31,D37,D38,D44,D45,D51,D52,D58,D59,D65,D66","20","MMSZ47202T1G","","","","https://www.lcsc.com/product-detail/C242274.html"
"D6,D13,D20,D27,D34,D41,D48,D55,D62,D69","10","1N5819HW-7-F","","","","https://www.lcsc.com/product-detail/C82544.html"
"D7,D14,D21,D28,D35,D42,D49,D56,D63,D70","10","RLED","","","","https://www.lcsc.com/product-detail/C965812.html"
"D8,D15,D22,D29,D36,D43,D50,D57,D64,D71","10","SS1045-SMB","","","","https://www.lcsc.com/product-detail/C2903947.html"
"J1","1","Conn_02x16_Top_Bottom","","","","https://www.lcsc.com/product-detail/C7499351.html"
"J2","1","6437288-1","","","","https://www.lcsc.com/product-detail/C574787.html"
"J3","1","T66145145-1500","","","","https://www.lcsc.com/product-detail/C19724526.html"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26","26","10K","","","","https://www.lcsc.com/product-detail/C2907219.html"
"R27,R36,R45,R54,R63,R72,R81,R90,R99,R108","10","39K","","","","https://www.lcsc.com/product-detail/C407451.html"
"R28,R37,R46,R55,R64,R73,R82,R91,R100,R109","10","1K","","","","https://www.lcsc.com/product-detail/C2907232.html"
"R29,R38,R47,R56,R65,R74,R83,R92,R101,R110","10","5.1K","","","","https://www.lcsc.com/product-detail/C2907269.html"
"R30,R39,R48,R57,R66,R75,R84,R93,R102,R111","10","50","","","","https://www.lcsc.com/product-detail/C2828866.html"
"R31,R40,R49,R58,R67,R76,R85,R94,R103,R112","10","500K","","","","https://www.lcsc.com/product-detail/C3097783.html"
"R32,R41,R50,R59,R68,R77,R86,R95,R104,R113","10","430","","","","https://www.lcsc.com/product-detail/C2907265.html"
"R33,R42,R51,R60,R69,R78,R87,R96,R105,R114","10","51K","","","","https://www.lcsc.com/product-detail/C2933461.html"
"R34,R43,R52,R61,R70,R79,R88,R97,R106,R115","10","1m","","","","https://www.lcsc.com/product-detail/C7467238.html"
"R35,R44,R53,R62,R71,R80,R89,R98,R107,R116","10","82","","","","https://www.lcsc.com/product-detail/C2907287.html"
"U1,U2,U3,U4","4","74HC27D","","","","https://www.lcsc.com/product-detail/C5629.html"
"U5","1","KF33BDT-TR","","","","https://www.lcsc.com/product-detail/C283274.html"
"U6,U9,U11,U14,U16,U19,U21,U24,U26,U29,U31,U34,U36,U39,U41,U44,U46,U49,U51,U54","20","2N7002","","","","https://www.lcsc.com/product-detail/C65189.html"
"U7,U12,U17,U22,U27,U32,U37,U42,U47,U52","10","NSG2000","","","","https://www.lcsc.com/product-detail/C41414507.html"
"U8,U13,U18,U23,U28,U33,U38,U43,U48,U53","10","OSP80N03T","","","","https://www.lcsc.com/product-detail/C20607812.html"
"U10,U15,U20,U25,U30,U35,U40,U45,U50,U55","10","INA180A3IDBVR","","","","https://www.lcsc.com/product-detail/C122882.html"
